#i,j,r,g,b
141,304,174,174,174
131,305,174,174,174

141,228,211,211,211
140,229,211,211,211

141,228,211,211,211
144,227,211,211,211

141,228,211,211,211
144,230,211,211,211

141,186,161,161,161
143,184,161,161,161

141,186,161,161,161
139,183,161,161,161

141,186,161,161,161
135,188,161,161,161

141,179,190,190,190
142,179,190,190,190

141,179,190,190,190
140,178,190,190,190

141,179,190,190,190
137,181,190,190,190

142,389,230,230,230
146,386,230,230,230

142,389,230,230,230
147,387,230,230,230

142,389,230,230,230
143,395,230,230,230

142,360,216,216,216
148,362,216,216,216

142,360,216,216,216
135,358,216,216,216

142,360,216,216,216
149,363,216,216,216

142,312,126,126,126
143,314,126,126,126

142,312,126,126,126
141,315,126,126,126

142,312,126,126,126
141,304,126,126,126

142,223,213,213,213
145,220,213,213,213

142,223,213,213,213
144,227,213,213,213

142,223,213,213,213
141,228,213,213,213

142,217,194,194,194
145,220,194,194,194

142,217,194,194,194
146,219,194,194,194

142,217,194,194,194
137,220,194,194,194

142,179,169,169,169
141,179,169,169,169

142,179,169,169,169
140,178,169,169,169

142,179,169,169,169
139,183,169,169,169

143,395,219,219,219
145,398,219,219,219

143,395,219,219,219
142,389,219,219,219

143,395,219,219,219
147,387,219,219,219

143,351,184,184,184
143,348,184,184,184

143,351,184,184,184
139,351,184,184,184

143,351,184,184,184
137,352,184,184,184

143,348,252,252,252
143,351,252,252,252

143,348,252,252,252
139,351,252,252,252

143,348,252,252,252
137,349,252,252,252

143,337,230,230,230
140,339,230,230,230

143,337,230,230,230
141,341,230,230,230

143,337,230,230,230
137,338,230,230,230

143,314,220,220,220
141,315,220,220,220

143,314,220,220,220
142,312,220,220,220

143,314,220,220,220
145,320,220,220,220

143,252,234,234,234
146,253,234,234,234

143,252,234,234,234
149,255,234,234,234

143,252,234,234,234
149,249,234,234,234

143,184,204,204,204
141,186,204,204,204

143,184,204,204,204
139,183,204,204,204

143,184,204,204,204
147,181,204,204,204

144,378,222,222,222
148,380,222,222,222

144,378,222,222,222
147,373,222,222,222

144,378,222,222,222
147,384,222,222,222

144,230,193,193,193
145,231,193,193,193

144,230,193,193,193
144,227,193,193,193

144,230,193,193,193
145,233,193,193,193

144,227,201,201,201
144,230,201,201,201

144,227,201,201,201
141,228,201,201,201

144,227,201,201,201
145,231,201,201,201

145,398,227,227,227
143,395,227,227,227

145,398,227,227,227
152,398,227,227,227

145,398,227,227,227
152,397,227,227,227

145,320,233,233,233
146,323,233,233,233

145,320,233,233,233
148,322,233,233,233

145,320,233,233,233
143,314,233,233,233

145,233,198,198,198
145,231,198,198,198

145,233,198,198,198
144,230,198,198,198

145,233,198,198,198
144,227,198,198,198

145,231,195,195,195
144,230,195,195,195

145,231,195,195,195
145,233,195,195,195

145,231,195,195,195
144,227,195,195,195

145,220,210,210,210
146,219,210,210,210

145,220,210,210,210
142,223,210,210,210

145,220,210,210,210
142,217,210,210,210

145,170,172,172,172
